City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
484,US,1584214848,37.27,-76.71,1,34,64.4,6.93
485,RU,1584214461,68.05,39.51,100,93,9.95,12.06
486,ID,1584214848,0.54,123.06,78,93,72.63,4.29
487,VU,1584214634,-13.88,167.55,64,77,85.37,19.75
488,PE,1584214848,-12.12,-77.05,100,65,80.6,11.41
489,CA,1584214849,68.22,-135.01,90,67,21.2,6.93
490,JP,1584214849,26.59,127.98,75,50,57.2,12.75
491,SD,1584214744,14.2,24.67,33,23,60.39,5.12
492,YE,1584214624,14.4,46.47,0,65,63.77,3.65
493,RU,1584214849,53.13,132.9,0,97,-13.41,2.21
494,ID,1584214849,-8.47,140.33,57,94,75.51,4.45
495,FR,1584214850,49.9,2.3,100,100,46.4,6.93
496,CO,1584214850,4.71,-74.23,40,72,64.4,10.29
497,NZ,1584214850,-41.41,175.52,0,87,54.0,4.7
498,SV,1584214850,13.59,-89.83,15,56,84.99,3.0
499,NZ,1584214850,-38.92,174.25,0,69,51.01,7.0
500,RU,1584214850,57.67,63.07,98,91,30.51,8.1
501,US,1584214611,41.0,-115.5,90,45,51.01,23.04
502,IN,1584214851,26.17,80.17,0,53,68.63,1.9
503,IT,1584214851,38.04,14.02,40,89,60.01,4.0
504,NO,1584214851,62.58,6.13,75,60,39.2,19.46
505,SA,1584214851,25.02,37.27,0,51,64.89,4.0
506,TG,1584214851,10.86,0.2,68,16,88.11,5.75
507,CY,1584214851,35.04,33.98,20,88,64.0,5.82
508,NA,1584214851,-19.23,17.72,43,68,70.29,4.45
509,ID,1584214852,-9.66,120.26,91,78,82.49,5.93
510,SD,1584214852,11.02,29.72,24,20,76.59,12.15
511,US,1584214738,37.46,-122.43,75,93,55.99,9.17
512,TR,1584214852,38.5,38.0,75,87,50.0,3.36
513,RU,1584214852,67.8,130.41,0,84,-29.43,4.16
514,CN,1584214563,30.8,106.08,92,51,56.57,3.76
515,MY,1584214853,4.75,115.0,75,88,78.8,2.24
516,CA,1584214624,48.4,-89.32,20,54,30.99,3.36
517,CA,1584214853,45.62,-61.35,75,56,42.01,14.99
518,PG,1584214853,-6.22,149.55,100,85,78.21,9.62
519,RU,1584214853,47.35,142.8,0,92,6.8,8.95
520,SS,1584214853,8.53,28.1,98,24,83.61,6.35
521,ER,1584214853,13.93,41.69,76,76,77.67,11.39
522,KE,1584214854,1.31,35.2,100,49,75.65,1.41
523,US,1584214788,41.6,-93.72,40,86,35.6,11.41
524,US,1584214595,36.21,-86.29,90,87,57.0,5.82
525,BR,1584214854,-2.97,-47.48,100,95,76.91,2.71
526,CD,1584214854,-9.2,25.85,100,94,70.29,0.6
527,NA,1584214748,-22.12,14.28,0,92,64.0,4.0
528,GH,1584214855,5.79,0.9,20,88,82.4,10.29
529,BR,1584214855,-1.83,-44.87,100,93,78.39,3.02
